Gene	Datasets	Intersected	Size	Assay	Type	Weight
COL1A2	16_Human;17_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0476159636832204
LAMA4	14_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0149883227901432
RPSA	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSPA1B	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
HSPA1A	15_Human;16_Human	2	8	In vitro	EVs	0.0638888888888889
RBMX	18_Human	1	8	In vitro	EVs	0.00286532951289398
SYTL2	12_Human	1	8	In vitro	EVs	0.0050761421319797
DPYSL2	18_Human	1	8	In vitro	EVs	0.00286532951289398
PPT1	12_Human	1	8	In vitro	EVs	0.0050761421319797
SDF4	12_Human;18_Human	2	8	In vitro	EVs	0.00794147164487368
MAP1LC3B2	12_Human	1	8	In vitro	EVs	0.0050761421319797
MAP1LC3B	12_Human	1	8	In vitro	EVs	0.0050761421319797
EIF1AX	14_Human	1	8	In vitro	EVs	0.00598802395209581
FLNA	12_Human;15_Human;16_Human;18_Human	4	8	In vitro	EVs	0.0718303605337626
APOD	18_Human	1	8	In vitro	EVs	0.00286532951289398
H3C14	12_Human	1	8	In vitro	EVs	0.0050761421319797
H3C13	12_Human	1	8	In vitro	EVs	0.0050761421319797
H3C15	12_Human	1	8	In vitro	EVs	0.0050761421319797
H3-4	12_Human	1	8	In vitro	EVs	0.0050761421319797
ANXA6	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
COL6A3	14_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0149883227901432
SDC2	14_Human	1	8	In vitro	EVs	0.00598802395209581
CAV1	19_Human	1	8	In vitro	EVs	0.00613496932515337
HSPA8	18_Human	1	8	In vitro	EVs	0.00286532951289398
CD59	19_Human	1	8	In vitro	EVs	0.00613496932515337
SLC3A2	14_Human	1	8	In vitro	EVs	0.00598802395209581
LTBP2	14_Human;16_Human;17_Human;18_Human	4	8	In vitro	EVs	0.0474690183101628
ACTN1	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
JAK1	12_Human	1	8	In vitro	EVs	0.0050761421319797
LAMB1	14_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0149883227901432
HADHA	14_Human	1	8	In vitro	EVs	0.00598802395209581
MAP4	18_Human	1	8	In vitro	EVs	0.00286532951289398
CCS	12_Human	1	8	In vitro	EVs	0.0050761421319797
DDX39A	12_Human	1	8	In vitro	EVs	0.0050761421319797
CCN1	15_Human;16_Human;18_Human	3	8	In vitro	EVs	0.0667542184017829
TPP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
PGRMC2	14_Human	1	8	In vitro	EVs	0.00598802395209581
LAMA5	14_Human	1	8	In vitro	EVs	0.00598802395209581
SPTLC1	12_Human	1	8	In vitro	EVs	0.0050761421319797
COPB2	19_Human	1	8	In vitro	EVs	0.00613496932515337
CALU	19_Human	1	8	In vitro	EVs	0.00613496932515337
GREM1	12_Human	1	8	In vitro	EVs	0.0050761421319797
UGDH	18_Human	1	8	In vitro	EVs	0.00286532951289398
FLNB	18_Human	1	8	In vitro	EVs	0.00286532951289398
PRSS23	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
PGK1	18_Human	1	8	In vitro	EVs	0.00286532951289398
F2	12_Human	1	8	In vitro	EVs	0.0050761421319797
TIMP1	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
CST3	18_Human	1	8	In vitro	EVs	0.00286532951289398
COL1A1	13_Human;14_Human;16_Human;19_Human	4	8	In vitro	EVs	0.0968452154994714
COL3A1	14_Human;16_Human;19_Human	3	8	In vitro	EVs	0.0343452154994714
APOE	12_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0140764409700271
APOB	17_Human	1	8	In vitro	EVs	0.0163934426229508
SOD2	19_Human	1	8	In vitro	EVs	0.00613496932515337
OAT	12_Human;14_Human	2	8	In vitro	EVs	0.0110641660840755
APP	17_Human;18_Human;19_Human	3	8	In vitro	EVs	0.0253937414609982
S100A8	18_Human	1	8	In vitro	EVs	0.00286532951289398
ALPL	19_Human	1	8	In vitro	EVs	0.00613496932515337
HMGN2	12_Human	1	8	In vitro	EVs	0.0050761421319797
ICAM1	12_Human	1	8	In vitro	EVs	0.0050761421319797
COL5A2	14_Human;16_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0372105450123654
H1-0	12_Human	1	8	In vitro	EVs	0.0050761421319797
ANXA2	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
ANXA2P2	19_Human	1	8	In vitro	EVs	0.00613496932515337
PSAP	18_Human	1	8	In vitro	EVs	0.00286532951289398
BPGM	17_Human	1	8	In vitro	EVs	0.0163934426229508
CTSB	18_Human	1	8	In vitro	EVs	0.00286532951289398
HSP90AB1	18_Human	1	8	In vitro	EVs	0.00286532951289398
MMP2	12_Human;15_Human;16_Human;17_Human;18_Human;19_Human	6	8	In vitro	EVs	0.0943587724818668
MME	14_Human	1	8	In vitro	EVs	0.00598802395209581
COL4A2	18_Human	1	8	In vitro	EVs	0.00286532951289398
SPARC	19_Human	1	8	In vitro	EVs	0.00613496932515337
HNRNPA1L3	14_Human	1	8	In vitro	EVs	0.00598802395209581
HNRNPA1	14_Human	1	8	In vitro	EVs	0.00598802395209581
C4A	12_Human	1	8	In vitro	EVs	0.0050761421319797
PYGB	19_Human	1	8	In vitro	EVs	0.00613496932515337
LAMP1	18_Human	1	8	In vitro	EVs	0.00286532951289398
COL6A1	14_Human;16_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0372105450123654
COL6A2	14_Human;16_Human;18_Human;19_Human	4	8	In vitro	EVs	0.0372105450123654
VCAN	17_Human;18_Human	2	8	In vitro	EVs	0.0192587721358448
EEF2	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
CPM	19_Human	1	8	In vitro	EVs	0.00613496932515337
AKR1A1	18_Human	1	8	In vitro	EVs	0.00286532951289398
ANPEP	18_Human;19_Human	2	8	In vitro	EVs	0.00900029883804736
B4GALT1	12_Human	1	8	In vitro	EVs	0.0050761421319797
EZR	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
RDX	14_Human;18_Human	2	8	In vitro	EVs	0.00885335346498979
NQO1	12_Human	1	8	In vitro	EVs	0.0050761421319797
CD44	15_Human;18_Human;19_Human	3	8	In vitro	EVs	0.050666965504714
