"Intersected","Weight","Nr_Genes","Gene","Labels","FillColor"
2,0.00251478928326978,56,"F5; RPL37A; TJP2; PPT1; IGFBP3; ARMC1; AARSD1; NAA50; COX7A2; DNPH1; RPS15; PSMD14; PDCD5; HAT1; PPM1G; NDUFS4; GREM1; LYPLA1; F2; CST3; APOE; TF; VTN; ASNS; SNRPA; C4A; VCAN; GYS1; H1-3; PPIB; DDT; AXL; DNAJA1; GPC1; PPIC; RPL21; GCLM; KPNA2; NDUFV3; DYNLL1; DYNLT1; YBX1; DPYD; SPP2; SNW1; GAS6; LTBP1; TSC22D1; CLPP; ARHGAP17; COMMD6; AEBP1; ZC3H15; NDRG1; CNPY3; HINT2","A (56)","Below Min"
2,0.00273902281229783,33,"ITSN2; MBNL1; MBNL3; ARID1B; TUBAL3; HADHA; HIP1R; GNA14; COL6A1; SDHB; MPST; DDX6; CD82; CRABP2; MARCKS; CXCL12; SGSH; TIAL1; TNFAIP2; FKBP5; PTGIS; PLD3; NAV3; ARHGAP18; NAPG; LSM14B; SMURF2; KIF13B; SPATS2L; NDE1; PDP1; ADAMTS1; AK3","B (33)","Below Min"
2,0.00320042400521853,30,"PTPN23; APOC3; HPX; G3BP2; HNRNPUL2; HSD17B12; MAP4K4; SRGN; APOH; EXOC6B; MFAP2; ANP32A; FAHD1; LTF; SYNPO2; VDAC3; CPQ; PZP; COL7A1; RAB11FIP5; KNG1; IGF2; APMAP; CLEC11A; ABCF1; PLIN2; AFP; NMT1; AP2A2; TST","C (30)","Below Min"
2,0.00407547453297942,32,"PXN; ARHGEF2; SH3PXD2B; HIP1; SORBS2; SORBS1; ADH4; ADH1B; ADH1C; COL3A1; GUSB; COL4A2; ENG; TYMP; WARS1; LOX; HPCAL1; NCALD; NNMT; GPD2; HNMT; BCAT1; TMSB4X; PCOLCE; UGP2; LPP; CPPED1; CD248; MYOF; CYB5R1; SAMHD1; SNX9","D (32)","Below Min"
2,0.00417134813322485,26,"PCMT1; PES1; NDUFS8; RPS17; CDIPT; TPD52L2; H6PD; CYB5A; CTSB; TUBA3C; TUBA3D; AKR1A1; STAT6; MAP2K3; UBE2D3; RPL11; PSME1; EBP; DECR1; PPIL1; MAGOHB; S100A16; ABHD14B; SFXN3; ATP5IF1; SAR1B","E (26)","Below Min"
2,0.00453687572590012,26,"MSRB3; PARVA; MYO1D; GBA1; SERPINB2; COL11A1; NPR3; IGFBP2; ENPP1; RPL10; LMOD1; RPL3; PLCD1; RPL15; RRAS2; RPS26; PURA; SPECC1L; CSPG4; POGLUT3; LIMS2; PALLD; PXDN; HTRA1; EHD2; NPTN","F (26)","Below Min"
2,0.00463274932614555,19,"CD81; PRRC2C; EPHX1; RAC2; PTMS; OSBP; FBL; ATP5F1D; MYH9; RAB5A; EIF5; RPL38; SNX1; HERC4; UBR4; ALYREF; CAVIN3; FAM120A; TLN2","G (19)","Below Min"
2,0.00464988245097164,18,"HSPA1B; DDX3X; SLC3A2; GRSF1; HNRNPH1; FKBP9P1; FKBP9; PCNA; CFL1; PRDX6; FUS; TXN2; CAPRIN1; HSP90AB4P; TFG; FKBP10; JPT2; MED16","H (18)","Below Min"
2,0.00476110925492817,21,"GPNMB; DNM1L; SDCBP; PDXK; HSPB6; ACSL4; HAPLN1; CRK; AKR1C2; CACNA2D1; SLC25A11; GFPT1; MOGS; FHL1; STXBP5; NDUFAF2; CEMIP; SLC38A2; DHRS4; TOMM22; APPL1","I (21)","Below Min"
2,0.0048569828551736,15,"ILVBL; TIMM44; GFPT2; TOMM40; EIF4A3; UTRN; RAD23A; AKR1C1; TOR1AIP1; PRMT1; DHX29; DNAJC10; RSF1; ACOT13; SEPTIN9","J (15)","Below Min"
