"Intersected","Weight","Nr_Genes","Gene","Labels","FillColor"
2,0.00794147164487368,6,"SDF4; B2M; DSP; POTEE; CDH11; DCD","A (6)","Below Min"
2,0.00885335346498979,13,"EZR; RDX; PPIB; ADAM9; ATP5F1B; ATP5F1A; CLU; BMP1; GALNT1; PTK7; DAG1; TXNDC5; CTSZ","B (13)","Below Min"
2,0.00900029883804736,34,"ANXA6; ACTN1; ANXA2; EEF2; ANPEP; COL5A1; CXCL12; SRPX; GAS6; S100A6; PKM; HSP90B1; GANAB; ANXA1; HSP90AA1; MYH9; YWHAE; PLEC; TPM3; TPM4; ENO1; FSCN1; VIM; LDHB; EEF1A1P5; VCP; PFN1; ACAN; TPI1; COMP; LUM; C1S; SRPX2; ANGPT1","C (34)","Below Min"
2,0.0110641660840755,7,"OAT; PLD3; SUCLG2; ACADVL; KRT18; EGFR; TEP1","D (7)","Below Min"
2,0.0112111114571331,2,"FTL; WNT5A","E (2)","Below Min"
2,0.0121229932772492,3,"LGALS3BP; RCN3; LAMA2","F (3)","Below Min"
2,0.0192587721358448,11,"PRSS23; TIMP1; VCAN; LOX; EFEMP2; MMP3; MMP1; CLEC11A; OLFML3; BGN; IL6","G (11)","Below Min"
2,0.0214695847549305,1,"EXT2","H (1)","Above Min Weight"
2,0.0223814665750466,2,"AGRN; PTPRF","I (2)","Above Min Weight"
2,0.0225284119481042,5,"CXCL1; CXCL6; NEO1; PAPPA; MAPRE2","J (5)","Above Min Weight"
2,0.0250875517351162,4,"MVP; MSN; LDHA; COL14A1","K (4)","Above Min Weight"
2,0.028210246174318,3,"SEMA3C; ANGPTL4; ITGA3","L (3)","Above Min Weight"
2,0.0445319961795606,2,"YWHAZ; CLIC1","M (2)","Above Min Weight"
2,0.0638888888888889,1,"HSPA1A","N (1)","Above Min Weight"
2,0.065365329512894,6,"CD248; VASN; COL4A1; HAPLN1; EFEMP1; C1R","O (6)","Above Min Weight"
2,0.0686349693251534,1,"IGFBP2","P (1)","Above Min Weight"
3,0.0139294955969695,3,"AEBP1; MXRA8; LAMB2","Q (3)","Below Min"
3,0.0140764409700271,2,"APOE; LAMA1","R (2)","Below Min"
3,0.0149883227901432,5,"LAMA4; COL6A3; LAMB1; CTSD; CHI3L1","S (5)","Below Min"
3,0.0171991354092289,1,"CD81","T (1)","Below Min"
3,0.0243349142678245,1,"SPOCK1","U (1)","Above Min Weight"
3,0.0252467960879406,4,"LTBP1; CCDC80; QSOX1; NID1","V (4)","Above Min Weight"
3,0.0253937414609982,3,"APP; COL7A1; STC2","W (3)","Above Min Weight"
3,0.0274576087070263,1,"COL18A1","X (1)","Above Min Weight"
3,0.031075575687212,1,"COL11A1","Y (1)","Above Min Weight"
3,0.0312225210602696,3,"MFGE8; ANXA5; LGALS1","Z (3)","Above Min Weight"
3,0.0343452154994714,2,"COL3A1; COL12A1","AA (2)","Above Min Weight"
3,0.050666965504714,2,"CD44; SERPINE2","AB (2)","Above Min Weight"
3,0.0667542184017829,6,"HSPA1B; CCN1; GAPDH; POSTN; HTRA1; TUBA1C","AC (6)","Above Min Weight"
3,0.0713533534649898,1,"LOXL2","AD (1)","Above Min Weight"
3,0.0715002988380474,1,"DCN","AE (1)","Above Min Weight"
3,0.0817587721358448,1,"CFH","AF (1)","Above Min Weight"
3,0.107031996179561,1,"LRP1","AG (1)","Above Min Weight"
4,0.0200644649221229,1,"LAMC1","AH (1)","Above Min Intersected"
4,0.0304698835929779,1,"TUBA4A","AI (1)","Above Min Intersected"
4,0.031381765413094,2,"PXDN; NID2","AJ (2)","Above Min Intersected"
4,0.0362986631922493,1,"ABI3BP","AK (1)","Above Min Intersected"
4,0.0372105450123654,5,"COL5A2; COL6A1; COL6A2; HSPG2; FN1","AL (5)","Above Min Intersected"
4,0.0474690183101628,1,"LTBP2","AM (1)","Above Min Intersected"
4,0.0476159636832204,1,"COL1A2","AN (1)","Above Min Intersected"
4,0.0670604081276648,1,"TGFBI","AO (1)","Above Min Intersected"
4,0.0718303605337626,2,"FLNA; THBS2","AP (2)","Above Min Intersected"
4,0.0727422423538787,1,"CEMIP","AQ (1)","Above Min Intersected"
4,0.0728891877269362,1,"CCN2","AR (1)","Above Min Intersected"
4,0.0831476610247337,1,"IGFBP7","AS (1)","Above Min Intersected"
4,0.0864173008369931,1,"PCOLCE","AT (1)","Above Min Intersected"
4,0.0878937414609982,1,"THBS1","AU (1)","Above Min Intersected"
4,0.0968452154994714,1,"COL1A1","AV (1)","Above Min Intersected"
5,0.071989604886587,1,"PTX3","AW (1)","Above Min Intersected"
5,0.0892826303498871,1,"FBN1","AX (1)","Above Min Intersected"
5,0.118243107636694,1,"EMILIN1","AY (1)","Above Min Intersected"
6,0.0943587724818668,1,"MMP2","AZ (1)","Above Min Intersected"
