drugId,label,status,drugstoneType,score,isResult,isConnector,hasEdgesTo
DB00028,Human immunoglobulin G,,drug,0.1552,TRUE,FALSE,C4A;C3;C4B
DB00316,Acetaminophen,approved,drug,0.1304,TRUE,FALSE,MB
DB01593,Zinc,,drug,1,TRUE,FALSE,SERPINA1;HPR;ITIH3;S100A9;ENO1;C3;KNG1;TTR;APOE;APOA2;ITIH1;FN1;APOA1;C4B;APOA4;AHSG;PRDX1;SOD1;GSN
DB01710,Porphyrin Fe(III),,drug,0.1304,TRUE,FALSE,MB
DB01826,N-Butyl Isocyanide,,drug,0.1304,TRUE,FALSE,MB
DB02073,Biliverdine IX Alpha,,drug,0.1304,TRUE,FALSE,MB
DB02379,Beta-D-Glucose,,drug,0.1304,TRUE,FALSE,MB
DB02396,Methylethylamine,,drug,0.1304,TRUE,FALSE,MB
DB02528,Tetrazolyl Histidine,,drug,0.1304,TRUE,FALSE,MB
DB02646,Nitrosoethane,,drug,0.1304,TRUE,FALSE,MB
DB02671,1-Methylimidazole,,drug,0.1304,TRUE,FALSE,MB
DB03366,Imidazole,,drug,0.1304,TRUE,FALSE,MB
DB03385,4-Methylimidazole,,drug,0.1304,TRUE,FALSE,MB
DB03399,Ethyl Isocyanide,,drug,0.1304,TRUE,FALSE,MB
DB09130,Copper,,drug,0.8768,TRUE,FALSE,AHSG;PRDX1;S100A4;RACK1;GSN;TUBB;SERPINA1;KNG1;PGAM1;SERPINC1;PLG;APOA2;APOE;PRDX2;HPR;ENO1;C3;GOT1;TTR;PGK1;APOA1;C4B;APOA4;PPIA
DB11588,Carbon monoxide,,drug,0.1304,TRUE,FALSE,MB
DB11638,Artenimol,,drug,0.1305,TRUE,FALSE,ATP5PO;PPIA;NPM1;PRDX1;PGAM1;TUBB;ENO1;CSRP1;PGK1;MDH1
DB14487,Zinc acetate,approved,drug,1,TRUE,FALSE,TTR;APOA1;C4B;APOA4;AHSG;PRDX1;SOD1;GSN;SERPINA1;ITIH3;S100A9;ENO1;KNG1;APOA2;APOE;ITIH1;HPR;FN1;C3
DB14533,Zinc chloride,approved,drug,0.585,TRUE,FALSE,C4B;AHSG;PRDX1;SOD1;SERPINA1;ITIH3;S100A9;KNG1;APOE;ITIH1;FN1;ENO1;C3;HP;TTR;APOA1
DB14548,Zinc sulfate, unspecified form,,drug,0.585,TRUE,FALSE,ITIH1;FN1;ENO1;C3;TTR;APOA1;C4B;HP;AHSG;PRDX1;SERPINA1;ITIH3;S100A9;SOD1;KNG1;APOE
