from,to
C4B,Zinc chloride
ATP5PO,Artenimol
AHSG,Copper
SERPINA1,Zinc
TTR,Zinc acetate
Zinc,HPR
Artenimol,PPIA
Zinc,ITIH3
Zinc,S100A9
Zinc,ENO1
Artenimol,NPM1
ITIH1,Zinc sulfate, unspecified form
Zinc,C3
Zinc,KNG1
Zinc chloride,AHSG
Zinc sulfate, unspecified form,FN1
ENO1,Zinc sulfate, unspecified form
MB,N-Butyl Isocyanide
Zinc,TTR
MB,Acetaminophen
Copper,PRDX1
Zinc sulfate, unspecified form,C3
MB,Biliverdine IX Alpha
C4A,Human immunoglobulin G
TTR,Zinc sulfate, unspecified form
Zinc acetate,APOA1
Copper,S100A4
Zinc,APOE
Zinc,APOA2
Copper,RACK1
C4B,Zinc acetate
Zinc acetate,APOA4
Zinc chloride,PRDX1
Zinc chloride,SOD1
Copper,GSN
Copper,TUBB
Zinc,ITIH1
MB,1-Methylimidazole
MB,4-Methylimidazole
Zinc,FN1
Copper,SERPINA1
AHSG,Zinc acetate
Zinc sulfate, unspecified form,APOA1
C3,Human immunoglobulin G
C4B,Zinc sulfate, unspecified form
Copper,KNG1
Zinc chloride,SERPINA1
Zinc sulfate, unspecified form,HP
Copper,PGAM1
Copper,SERPINC1
MB,Nitrosoethane
MB,Tetrazolyl Histidine
Copper,PLG
Zinc chloride,ITIH3
Zinc acetate,PRDX1
Zinc acetate,SOD1
Zinc chloride,S100A9
Artenimol,PRDX1
AHSG,Zinc sulfate, unspecified form
Copper,APOA2
Copper,APOE
Zinc chloride,KNG1
Artenimol,PGAM1
MB,Methylethylamine
Copper,PRDX2
Zinc,APOA1
Zinc acetate,GSN
C4B,Zinc
C4B,Human immunoglobulin G
Zinc chloride,APOE
Copper,HPR
Zinc,APOA4
Zinc sulfate, unspecified form,PRDX1
Artenimol,TUBB
Copper,ENO1
SERPINA1,Zinc acetate
Copper,C3
MB,Beta-D-Glucose
Zinc acetate,ITIH3
Zinc acetate,S100A9
Zinc acetate,ENO1
MB,Imidazole
Zinc chloride,ITIH1
Copper,GOT1
AHSG,Zinc
Copper,TTR
Artenimol,ENO1
Zinc chloride,FN1
Zinc chloride,ENO1
Zinc acetate,KNG1
Copper,PGK1
MB,Ethyl Isocyanide
Artenimol,CSRP1
Zinc chloride,C3
MB,Carbon monoxide
Zinc chloride,HP
Zinc chloride,TTR
SERPINA1,Zinc sulfate, unspecified form
Zinc acetate,APOA2
Zinc acetate,APOE
Artenimol,PGK1
Zinc,PRDX1
Zinc,SOD1
ITIH3,Zinc sulfate, unspecified form
S100A9,Zinc sulfate, unspecified form
Copper,APOA1
Zinc sulfate, unspecified form,SOD1
MB,Porphyrin Fe(III)
Zinc sulfate, unspecified form,KNG1
C4B,Copper
Artenimol,MDH1
Zinc acetate,ITIH1
Copper,APOA4
Zinc acetate,HPR
Zinc acetate,FN1
Zinc,GSN
Copper,PPIA
Zinc chloride,APOA1
Zinc acetate,C3
Zinc sulfate, unspecified form,APOE
ACTR3,CALD1
SERPINC1,PITX3
NPM1,MATN2
CKB,RC3H2
ACTA2,GC
FN1,LMNA
ITIH1,FN1
MDH2,SERPINH1
ACTA2,YWHAE
CKB,TPM4
YWHAE,ALDH2
SOD1,PRDX2
C3,SERPINC1
TUBB,TINF2
SERPINA1,S100A9
TUBB,TUBA1C
HPR,APOA1
LMNA,U2SURP
AKAP12,SGTB
PPIA,SOD1
TTR,PITX3
FN1,PPP1CA
TUBB,CDK5RAP1
RC3H2,YWHAE
ACTA2,TEAD4
SERPINA1,APOA1
CSRP1,ACAA2
MATN2,COL1A1
RACK1,STAT3
HP,GC
GNG12,RIPK3
SOD1,SERPINH1
PPIAL4C,PPIAL4G
PRDX1,COL1A1
SOD1,LMNA
MARCKS,SPP1
SERPINH1,CTSS
FLNC,PDLIM5
ALDH2,COX4I1
TUBB,PPP1CA
ITIH1,MATN2
FN1,PDLIM5
CALD1,TINF2
FN1,ACTR3
PGAM1,PGAM4
SOD1,ENO3
PPIA,GRSF1
ACAA2,FH
SOD1,TPM3
DKFZp761H172,LGALS14
KNG1,PITX3
CKB,PPP1CA
MARCKS,CTSB
GOT1,FGG
ENO1,ANXA1
ENO1,ENO3
GSN,ACTA2
PGAM1,MARCKS
TTR,HSPG2
PGK1,FH
TUBB,SPP1
PNN,PPIAL4E
ENO1,FN1
APOA4,GPLD1
TTR,CTSB
TEAD4,CCNDBP1
FBN1,TGFBI
GOT1,FH
GSN,RC3H2
APOA1,MATN2
FN1,FLNC
LMNA,PDLIM5
MDH1,FABP5
S100A4,TPM3
PGAM1,TPM3
SOD1,PGK1
APOE,HTRA1
NPM1,RC3H2
CALD1,FH
PITX3,FGG
SOD1,ANXA1
CTSB,COL14A1
PPIAL4G,PPIAL4A
PITX3,FGB
PGK1,MARCKS
C5AR2,EVI5L
CALD1,FLNC
FN1,PRDX1
YWHAE,RIPK3
C1QA,TUBA4A
ENO1,PGAM1
ACTG2,NEB
ATP5PO,GRSF1
CALD1,LRCH3
PRDX1,TPM3
RC3H2,KCTD5
ENO1,COL14A1
FN1,HADHA
