drugId,label,status,drugstoneType,score,isResult,isConnector,hasEdgesTo
DB00030,Insulin human,,drug,0.9771,TRUE,FALSE,IGFBP7
DB00157,NADH,,drug,0.7873,TRUE,FALSE,PDHB;AKR1C3;GAPDH
DB00328,Indomethacin,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00586,Diclofenac,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00603,Medroxyprogesterone acetate,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00712,Flurbiprofen,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00784,Mefenamic acid,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00788,Naproxen,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00939,Meclofenamic acid,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB00948,Mezlocillin,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB01050,Ibuprofen,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB01536,Androstenedione,,drug,0.6374,TRUE,FALSE,AKR1C3
DB01698,Rutin,,drug,0.6374,TRUE,FALSE,AKR1C3
DB02056,Prostaglandin D2,,drug,0.6374,TRUE,FALSE,AKR1C3
DB02266,Flufenamic acid,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB03461,Nicotinamide adenine dinucleotide phosphate,,drug,0.6374,TRUE,FALSE,AKR1C3
DB07700,3-carboxamido-1,3,5(10)-estratrien-17(R)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran,,drug,0.6374,TRUE,FALSE,AKR1C3
DB09074,Olaparib,approved,drug,0.6374,TRUE,FALSE,AKR1C3
DB09130,Copper,,drug,1,TRUE,FALSE,AHSG;GAPDH;PKM;RPSA;S100A4;B2M;HSP90B1;EEF1A1
DB11638,Artenimol,,drug,0.8205,TRUE,FALSE,ATP5F1A;RPS9;HSPB1;EEF1A1;TPM1;NPM1;HNRNPD;RPL4;ANXA2;GAPDH;RPS8;HP1BP3;RPL14;PKM;RPL18;RPS5
