from,to
PDHB,NADH
AKR1C3,3-carboxamido-1,3,5(10)-estratrien-17(R)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran
AHSG,Copper
Copper,GAPDH
ATP5F1A,Artenimol
Artenimol,RPS9
AKR1C3,Nicotinamide adenine dinucleotide phosphate
Artenimol,HSPB1
NADH,AKR1C3
AKR1C3,Androstenedione
AKR1C3,Diclofenac
AKR1C3,Flurbiprofen
NADH,GAPDH
Artenimol,EEF1A1
Artenimol,TPM1
Copper,PKM
AKR1C3,Mefenamic acid
AKR1C3,Olaparib
Artenimol,NPM1
IGFBP7,Insulin human
AKR1C3,Rutin
Artenimol,HNRNPD
Artenimol,RPL4
Artenimol,ANXA2
AKR1C3,Indomethacin
AKR1C3,Meclofenamic acid
GAPDH,Artenimol
Copper,RPSA
AKR1C3,Mezlocillin
Artenimol,RPS8
Artenimol,HP1BP3
AKR1C3,Medroxyprogesterone acetate
Artenimol,RPL14
Artenimol,PKM
AKR1C3,Ibuprofen
Copper,S100A4
Copper,B2M
Artenimol,RPL18
AKR1C3,Prostaglandin D2
Copper,HSP90B1
Artenimol,RPS5
AKR1C3,Flufenamic acid
Copper,EEF1A1
AKR1C3,Naproxen
HNRNPD,PYGB
HP1BP3,HMGB1
AKR1C3,ANXA1
RPL12,RPL5
PDHB,ACTB
RPL24,RPL9
HP1BP3,HMGA1
DBN1,LIMA1
MMAB,TRIM68
PKM,GSTK1
RPL14,RPL7A
ANXA2,MMP2
RPS9,RPL9
ANXA7,LGALS3
RPS9,RPL27
RPL12,PHB1
NPM1,HEL-S-66p
ANXA2,HMGB1
HMGA1,PCBP2
RPL5,RPS3
PHB1,PCBP2
NPM1,EEF1D
PDLIM7,SPTBN1
GAPDH,CALD1
LIMA1,SPTBN1
GAPDH,HMGB1
ACTB,PPP1R12A
PCBP2,HMGA2
EEF1A1,PCBP2
RPL5,RPL9
CAPNS1,CAPNS2
ANXA1,ACTB
CALD1,FH
RPS5,RPL7A
RPL4,RPL7A
LTBP2,ZNF696
ANXA2,PHB1
PKM,AK2
CTSA,LMNA
RPL12,SQSTM1
EEF1D,MAP1B
RPL18,RPS5
TRIM68,CCN2
HSPB1,PKM
RPS3,MAP1B
TPM1,DBN1
NPM1,HNRNPD
HSPB1,PDLIM1
LMNA,RP9
RPL13,RPL34
COL1A1,COL5A1
RPS3,COL1A1
HSPB1,PHB1
LMNA,VMP1
RPL7A,LGALS3
NPM1,RPL34
RPS5,RPL9
PDLIM7,MYL12A
RPS5,RPL27
HSPB1,FTH1
ANXA1,COL1A1
TPM1,PDLIM7
HNRNPD,MAP1B
RPS5,SQSTM1
COL1A1,P4HA1
ARCN1,PPM2C
RPL5,PHB1
RPS3,RPL13
FH,CRIP1
HSP90B1,COL1A1
SQSTM1,AARS1
RPL14,RPL27
NPM1,RPS3
SPTBN1,VMP1
RPL18,RPL24
ACTB,MYL12A
RPL14,MAP1B
RPL9,RPL13
CCN1,ZWINT
RPL24,RPL27
RPL12,LGALS3
RPSA,ACTB
NPM1,RPL9
EEF1D,SQSTM1
GAPDH,ATP5F1A
RPS8,HP1BP3
GAPDH,PYGB
ACTR1A,TCP1
RPL14,RPL5
RPSA,RPL7A
HSP90B1,CTSD
ATP5F1A,NPM1
NPM1,RPL7A
BMP1,CLIP1
HMGB1,RPL7A
RPSA,RPL18
RPL4,RPL34
RPL12,RPL7A
AHSG,LGALS3
EEF1A1,RPL9
