from,to
C1R,Conestat alfa
C1R,Zinc acetate
GAPDH,Copper
CFH,Zinc sulfate, unspecified form
C1R,Zinc chloride
APP,Zinc
CD44,Hyaluronic acid
Copper,CFH
PAPPA,Phenethyl Isothiocyanate
Phenethyl Isothiocyanate,YWHAZ
Copper,CLIC1
IGFBP7,Insulin human
Zinc sulfate, unspecified form,APP
Zinc,FN1
Phenethyl Isothiocyanate,TUBA4A
C1R,Nafamostat
Copper,APP
Zinc acetate,CFH
Copper,LDHA
MMP2,Aclarubicin
C1R,Zinc
Zinc sulfate, unspecified form,FN1
COL1A1,Collagenase clostridium histolyticum
CFH,Zinc chloride
C1R,Daclizumab
Zinc acetate,APP
COL1A1,Halofuginone
C1R,Zinc sulfate, unspecified form
C1R,Human C1-esterase inhibitor
MMP2,Endostatin
Collagenase clostridium histolyticum,COL3A1
NID1,Urokinase
Zinc chloride,APP
Hyaluronic acid,HAPLN1
Copper,ANXA5
MMP2,Doxycycline
Zinc acetate,FN1
MMP2,Halofuginone
MMP2,Zoledronic acid
CFH,Zinc
C1R,Palivizumab
Zinc chloride,FN1
COL5A2,HEL-S-45
APP,FLNA
NID1,NID2
FN1,THBS1
MMP2,COL1A1
MMP2,COL6A2
MMP2,DCN
MMP2,COL7A1
APP,COL18A1
COL3A1,PCOLCE
COL3A1,THBS1
MMP2,THBS2
FBN1,TGFBI
MMP2,COL1A2
TGFBI,POSTN
LOXL2,LRP1
GAPDH,LOXL2
NID1,ITGAV
FN1,MMP2
COL6A2,TFAP2C
COL1A1,TFAP2C
FN1,LOXL2
COL6A2,AGRN
THBS1,LGALS1
FN1,COL4A1
YWHAZ,LOXL2
THBS1,LRP1
LDHA,AGRN
APP,MAPRE2
NID1,COL4A1
AGRN,COL6A1
COL18A1,ITGA5
THBS1,MFAP4
COL1A2,TFAP2C
CCN2,RSPH1
FN1,LDHA
PCOLCE,LTBP1
FLNA,MYO5C
COL1A1,ITGA5
THBS1,COL6A1
ITGA5,CCN2
FN1,ITGAV
HEL-S-45,ITGA5
APP,TUBA4A
ANXA5,EFEMP1
GAPDH,PTPRF
YWHAZ,CRACD
NID2,AGRN
COL4A1,SERPINE2
APP,DCN
THBS1,HTRA1
LOXL2,MVP
FBN1,STC2
THBS1,COL18A1
COL3A1,TFAP2C
YWHAZ,HSPA1B
HSPG2,LTBP2
YWHAZ,LGALS1
FBN1,HSPG2
CFH,TFAP2C
MMP2,COL6A1
LAMC1,PTPRO
MMP2,PCOLCE
COL1A1,THBS1
TGFBI,COL1A2
MMP2,THBS1
THBS1,DCN
FN1,TGFBI
THBS1,COL7A1
APP,ANGPTL4
MMP2,HAPLN1
FN1,HSPA1A
CFH,RSPH1
LTBP1,EFEMP1
FN1,HEL-S-45
COL1A1,COL7A1
ANXA5,LRRC15
NID1,LAMC1
DCN,COL14A1
COL1A2,TFAP2A
NID2,LGALS1
TUBA4A,HSPA1A
COL18A1,HSPG2
HSPA1A,CEP57
APP,PTPRO
YWHAZ,FLNA
ITGAV,COL6A1
LRP1,CCN2
FN1,ITGA3
TUBA4A,LOXL2
APP,LAMC1
APP,ANXA5
COL18A1,COL6A1
STC2,COL14A1
EXT2,KLK2
ITGAV,MFGE8
COL18A1,ITGAV
APP,FN1
APP,NID1
CFH,THBS1
CLIC1,FN1
GAPDH,YWHAZ
NID2,HSPG2
LOXL2,CCN1
HEL-S-45,ITGAV
LGALS1,TFAP2A
FLNA,LGALS1
THBS1,COL4A1
FN1,HSPG2
APP,COL4A1
YWHAZ,FN1
HEL-S-45,COL6A1
TGFBI,HTRA1
GAPDH,TUBA1C
COL1A1,NID2
MMP2,ITGAV
CD44,LGALS1
NID1,SKIL
COL3A1,COL1A2
LGALS1,NEO1
HEL-S-45,COL18A1
CXCL1,CXCL6
KLK2,IGFBP2
ITGAV,CCN1
MMP2,COL4A1
CD44,COL14A1
EFEMP1,HTRA1
COL1A1,TGFBI
MFAP4,CEMIP
COL1A1,HEL-S-45
FLNA,CRACD
PTPRF,SKIL
FN1,LGALS1
LGALS1,ITGA3
CRACD,PXDN
YWHAZ,MVP
YWHAZ,TUBA1C
HEL-S-45,THBS1
COL1A1,TFAP2A
GAPDH,APP
TUBA4A,MAPRE2
LRP1,TUBA1C
MYO5C,CXCL6
THBS1,COL11A1
NID1,PTPRO
COL1A1,DCN
MMP2,COL12A1
C1R,LRRC15
APP,HTRA1
APP,IGFBP7
CFH,PTX3
COL1A1,COL1A2
CD44,COL1A2
NID2,COL4A1
LOXL2,MFAP4
PTPRF,PTPRO
HEL-S-45,LOXL2
DCN,COL1A2
FN1,FBN1
CCN2,HSPG2
FBN1,LTBP1
YWHAZ,HEL-S-45
TGFBI,COL4A1
APP,PCOLCE
TUBA4A,CEP57
THBS1,PCOLCE
APP,THBS1
THBS1,ITGAV
HEL-S-45,COL4A1
PTPRF,HSPA1A
CFH,TFAP2A
CEP57,EMILIN1
CD44,FLNA
FLNA,DCN
TFAP2C,EFEMP1
ITGAV,COL11A1
FN1,FLNA
LTBP1,HTRA1
APP,COL11A1
COL1A1,MVP
APP,MMP2
LGALS1,ITGA5
FBN1,MFAP4
COL7A1,COL4A1
FN1,COL6A2
CD44,FN1
RSPH1,MFGE8
FN1,HSPA1B
NID2,LAMC1
LDHA,PTPRF
TFAP2C,CCDC80
LOXL2,MSN
COL1A1,COL18A1
FN1,AGRN
DCN,COL6A1
APP,COL6A1
FN1,COL1A2
COL18A1,MFAP4
HEL-S-45,COL11A1
CD44,COL1A1
PAPPA,SKIL
YWHAZ,PTPRO
FN1,LTBP1
TUBA4A,VASN
MMP2,COL14A1
HEL-S-45,ITGA3
IGFBP7,FBN1
TFAP2C,TFAP2A
ITGAV,LGALS1
APP,COL14A1
ABI3,ABI3BP
MFAP4,QSOX1
LDHA,TFAP2A
YWHAZ,HSPA1A
DCN,FBN1
APP,HEL-S-45
THBS1,FBN1
TFAP2A,CCDC80
CLIC1,MYO5C
NID2,SKIL
THBS1,THBS2
FN1,SKIL
PTPRO,EXT2
APP,CEP57
FN1,TFAP2C
COL1A1,HTRA1
YWHAZ,LAMC1
EMILIN1,ABI3
LGALS1,VASN
GAPDH,FN1
COL18A1,PCOLCE
MFAP4,SEMA3C
YWHAZ,LDHA
NID1,HSPG2
TUBA4A,LRP1
FN1,RSPH1
APP,COL1A2
SERPINE2,KLK2
TFAP2C,CD248
CD44,MSN
APP,LRP1
APP,AGRN
HEL-S-45,MVP
APP,HAPLN1
DCN,COL4A1
FN1,ITGA5
TUBA4A,TUBA1C
FN1,COL1A1
FN1,CCN2
LRP1,SKIL
FN1,DCN
COL1A1,NID1
COL18A1,COL4A1
ANXA5,FBN1
APP,HSPG2
FN1,COL7A1
MVP,SKIL
APP,YWHAZ
ITGA5,IGFBP2
GAPDH,MSN
PCOLCE,AGRN
MMP2,COL18A1
FN1,MSN
NID1,PTPRF
COL3A1,HTRA1
APP,KLK2
MMP2,SPOCK1
