drugId,label,status,drugstoneType,score,isResult,isConnector,hasEdgesTo
DB00188,Bortezomib,approved,drug,0.686,TRUE,FALSE,ELANE;CTRB1
DB01593,Zinc,,drug,0.6482,TRUE,FALSE,SERPINA1;APOA1;C3;KNG1;A2M;C5;CPN1;ITIH4;AHSG
DB01662,Trans-O-Hydroxy-Alpha-Methyl Cinnamate,,drug,0.6052,TRUE,FALSE,CTRB1
DB01704,2,4-Dihydroxy-Trans Cinnamic Acid,,drug,0.6052,TRUE,FALSE,CTRB1
DB01963,Phenylethane Boronic Acid,,drug,0.6052,TRUE,FALSE,CTRB1
DB03058,2-Aminobenzyl alcohol,,drug,0.8277,TRUE,FALSE,CFD
DB04459,3,4-Dichloroisocoumarin,,drug,0.8277,TRUE,FALSE,CFD
DB06692,Aprotinin,,drug,0.6052,TRUE,FALSE,CTRB1
DB07380,1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE),,drug,0.6052,TRUE,FALSE,CTRB1
DB07383,N-(1-BENZYL-3,3,3-TRIFLUORO-2,2-DIHYDROXY-PROPYL)-ACETAMIDE,,drug,0.6052,TRUE,FALSE,CTRB1
DB07668,alpha-Methyl-2-hydroxy-4-diethylaminocinnamic acid,,drug,0.6052,TRUE,FALSE,CTRB1
DB07749,2-ACETYLAMINO-4-METHYL-PENTANOIC ACID (1-FORMYL-2-PHENYL-ETHYL)-AMIDE,,drug,0.6052,TRUE,FALSE,CTRB1
DB07899,(2S) N-acetyl-L-alanyl-αL-phenylalanyl-chloroethylketone,,drug,0.6052,TRUE,FALSE,CTRB1
DB08119,1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE),,drug,0.6052,TRUE,FALSE,CTRB1
DB08374,Phenylalanylmethylchloride,,drug,0.6052,TRUE,FALSE,CTRB1
DB08565,L-1-naphthyl-2-acetamido-ethane boronic acid,,drug,0.6052,TRUE,FALSE,CTRB1
DB09130,Copper,,drug,1,TRUE,FALSE,SERPINF2;AHSG;PKM;SERPINA1;C9;APOA1;C3;KNG1;SERPINC1;B2M;C5
DB14487,Zinc acetate,approved,drug,0.6482,TRUE,FALSE,A2M;C5;ITIH4;AHSG;CPN1;SERPINA1;APOA1;C3;KNG1
DB14533,Zinc chloride,approved,drug,0.6753,TRUE,FALSE,C3;KNG1;A2M;HP;C5;ITIH4;AHSG;CPN1;SERPINA1;APOA1
DB14548,Zinc sulfate, unspecified form,,drug,0.6753,TRUE,FALSE,AHSG;CPN1;SERPINA1;APOA1;C3;KNG1;A2M;HP;C5;ITIH4
