from,to
AHSG,Zinc sulfate, unspecified form
A2M,Zinc acetate
C3,Zinc chloride
SERPINF2,Copper
AHSG,Copper
Zinc chloride,KNG1
SERPINA1,Zinc
CTRB1,2-ACETYLAMINO-4-METHYL-PENTANOIC ACID (1-FORMYL-2-PHENYL-ETHYL)-AMIDE
CTRB1,(2S) N-acetyl-L-alanyl-αL-phenylalanyl-chloroethylketone
Zinc acetate,C5
CTRB1,1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)
Zinc sulfate, unspecified form,CPN1
CTRB1,Phenylalanylmethylchloride
A2M,Zinc chloride
Zinc chloride,HP
Zinc chloride,C5
Copper,PKM
Zinc sulfate, unspecified form,SERPINA1
Zinc acetate,ITIH4
Zinc,APOA1
CTRB1,Trans-O-Hydroxy-Alpha-Methyl Cinnamate
Copper,SERPINA1
AHSG,Zinc acetate
Zinc chloride,ITIH4
C3,Zinc
CFD,3,4-Dichloroisocoumarin
ELANE,Bortezomib
Zinc acetate,CPN1
KNG1,Zinc
Zinc sulfate, unspecified form,APOA1
AHSG,Zinc chloride
CTRB1,Bortezomib
Copper,C9
CTRB1,N-(1-BENZYL-3,3,3-TRIFLUORO-2,2-DIHYDROXY-PROPYL)-ACETAMIDE
CTRB1,2,4-Dihydroxy-Trans Cinnamic Acid
Copper,APOA1
A2M,Zinc
Zinc chloride,CPN1
Zinc acetate,SERPINA1
Zinc sulfate, unspecified form,C3
Zinc sulfate, unspecified form,KNG1
Zinc,C5
C3,Copper
Copper,KNG1
Zinc,CPN1
CTRB1,Aprotinin
Zinc sulfate, unspecified form,A2M
Zinc chloride,SERPINA1
Zinc,ITIH4
Zinc sulfate, unspecified form,HP
Copper,SERPINC1
CFD,2-Aminobenzyl alcohol
Zinc sulfate, unspecified form,C5
Zinc acetate,APOA1
Copper,B2M
CTRB1,Phenylethane Boronic Acid
AHSG,Zinc
CTRB1,alpha-Methyl-2-hydroxy-4-diethylaminocinnamic acid
Copper,C5
CTRB1,L-1-naphthyl-2-acetamido-ethane boronic acid
CTRB1,1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)
Zinc chloride,APOA1
Zinc sulfate, unspecified form,ITIH4
Zinc acetate,C3
Zinc acetate,KNG1
C3,GDPD1
FLNA,TPM4
C9,UBE2U
SERPINA1,HP
SERPINF2,CFD
LGALS3BP,RAE1
ALDH1B1,ESD
APOA1,PITX3
PKM,IL1B
SERPINA1,ELANE
FERMT3,LIMS1
ALDH1B1,ALDH2
CXCL8,PF4
C3,ITIH4
AHSG,PITX3
CHL1,PTPRA
C3,CPN1
C5,CPN1
PITX3,PF4
SERPINA1,GDPD1
RAE1,TAGLN2
LIMS1,DKFZp686M24262
A2M,IL1B
ESD,ALDH2
KNG1,CPN1
ALDH1B1,YWHAE
SERPINA1,CTRB1
SERPINC1,UBE2U
ESD,DKFZp686M24262
A2M,GDPD1
PKM,YWHAZ
HP,UBE2U
IL1B,IL1RAP
A2M,ELANE
APOA1,MIS12
C3,UBE2U
C5,UBE2U
SERPINA1,APOA1
KNG1,UBE2U
AHSG,GDPD1
SERPINC1,PITX3
APOA1,FNDC1
YWHAZ,PFN1
SERPINA1,FNDC1
RAE1,H4C1
ALDH1B1,YWHAZ
A2M,CXCL8
APOA1,ALDH2
FLNA,YWHAZ
HP,PITX3
A2M,UBE2U
SERPINF2,ELANE
ALDH2,YWHAE
HP,GDPD1
C3,PITX3
SERPINF2,UBE2U
C5,PITX3
KNG1,PITX3
C3,SERPINC1
KNG1,ELANE
RAE1,ESD
PTPRA,YWHAZ
SERPINA1,UBE2U
YWHAZ,MIS12
H4C1,VWF
APOA1,GDPD1
HP,MIS12
YWHAE,MIS12
C5,C9
A2M,PITX3
A2M,B2M
SERPINA1,MIS12
C5,C7
C3,FNDC1
A2M,FCGBP
KNG1,GDPD1
C3,C5
ALDH2,YWHAZ
ELANE,CXCL8
HP,APOA1
RAE1,YWHAZ
YWHAZ,H4C1
SERPINF2,CTRB1
APOA1,UBE2U
SERPINA1,PITX3
IL1B,YWHAZ
HP,FNDC1
TAGLN2,TKTL2
YWHAE,H4C1
ESD,TKTL2
SERPINA1,ALDH2
YWHAE,YWHAZ
IL1B,YWHAE
ITIH4,UBE2U
AHSG,UBE2U
