drugId,label,status,drugstoneType,score,isResult,isConnector,hasEdgesTo
DB00030,Insulin human,,drug,0.7156,TRUE,FALSE,IGFBP7;CCN3
DB00407,Ardeparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB00569,Fondaparinux,approved,drug,0.2403,TRUE,FALSE,SERPINC1
DB01109,Heparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB01225,Enoxaparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB01593,Zinc,,drug,0.5445,TRUE,FALSE,SERPINA1;APOA1;FN1;C3;KNG1;AHSG
DB04216,Quercetin,,drug,0.278,TRUE,FALSE,PREP;MMP2
DB04464,N-Formylmethionine,,drug,0.3609,TRUE,FALSE,SERPINC1;B2M
DB06271,Sulodexide,,drug,0.2403,TRUE,FALSE,SERPINC1
DB06356,TRC093,,drug,0.7208,TRUE,FALSE,COL4A4
DB06754,Danaparoid,,drug,0.2403,TRUE,FALSE,SERPINC1
DB06779,Dalteparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB06822,Tinzaparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB08813,Nadroparin,,drug,0.2403,TRUE,FALSE,SERPINC1
DB09130,Copper,,drug,1,TRUE,FALSE,AHSG;GAPDH;PKM;SERPINA1;APOA1;C3;KNG1;SERPINC1;S100A4;B2M
DB09141,Protamine sulfate,,drug,0.2403,TRUE,FALSE,SERPINC1
DB11598,Antithrombin III human,,drug,0.2403,TRUE,FALSE,SERPINC1
DB14487,Zinc acetate,approved,drug,0.5445,TRUE,FALSE,AHSG;SERPINA1;APOA1;FN1;C3;KNG1
DB14533,Zinc chloride,approved,drug,0.6022,TRUE,FALSE,C3;KNG1;HP;AHSG;SERPINA1;APOA1;FN1
DB14548,"Zinc sulfate,  unspecified form",,drug,0.6022,TRUE,FALSE,AHSG;SERPINA1;APOA1;FN1;C3;KNG1;HP
