from,to
AHSG,Zinc sulfate, unspecified form
SERPINC1,N-Formylmethionine
C3,Zinc chloride
AHSG,Copper
Copper,GAPDH
Zinc chloride,KNG1
SERPINA1,Zinc
N-Formylmethionine,B2M
SERPINC1,Dalteparin
Zinc chloride,HP
PREP,Quercetin
Copper,PKM
Zinc sulfate, unspecified form,SERPINA1
Zinc,APOA1
IGFBP7,Insulin human
Zinc,FN1
SERPINC1,Antithrombin III human
Copper,SERPINA1
AHSG,Zinc acetate
COL4A4,TRC093
SERPINC1,Nadroparin
Insulin human,CCN3
C3,Zinc
SERPINC1,Enoxaparin
SERPINC1,Heparin
SERPINC1,Fondaparinux
KNG1,Zinc
Zinc sulfate, unspecified form,APOA1
AHSG,Zinc chloride
Zinc sulfate, unspecified form,FN1
Copper,APOA1
SERPINC1,Protamine sulfate
SERPINA1,Zinc acetate
Zinc sulfate, unspecified form,C3
Zinc sulfate, unspecified form,KNG1
C3,Copper
Copper,KNG1
Zinc chloride,SERPINA1
Zinc sulfate, unspecified form,HP
SERPINC1,Copper
Quercetin,MMP2
Copper,S100A4
APOA1,Zinc acetate
Copper,B2M
FN1,Zinc acetate
AHSG,Zinc
SERPINC1,Tinzaparin
SERPINC1,Sulodexide
SERPINC1,Ardeparin
Zinc chloride,APOA1
Zinc chloride,FN1
C3,Zinc acetate
KNG1,Zinc acetate
SERPINC1,Danaparoid
SERPINA1,HP
LGALS1,YWHAZ
CALD1,YWHAE
SERPINC1,PITX3
FLNA,LMNA
MMP2,THBS2
IL7R,TUBA4A
FN1,LMNA
SERPINA1,PITX3
SERPINA1,FN1
GAPDH,IL7R
HSPG2,LTBP2
LGALS1,TFAP2A
LMNA,FBN1
GAPDH,YWHAZ
SERPINC1,C3
PKM,TUBA4A
FN1,CCN3
TFAP2A,COL1A1
S100A4,IL7R
GAPDH,ANXA1
FN1,YWHAE
MMP2,COL1A1
YWHAE,IL7R
YWHAZ,ANXA1
FLNA,NPM1
LGALS1,IL7R
FN1,NPM1
SERPINA1,APOA1
B2M,CDCA2
IL7R,NPM1
COL4A4,TGFBI
GAPDH,PREP
HSPG2,CCN2
NPM1,TUBA1C
CALD1,FLNA
IL7R,TUBA1C
GAPDH,RXFP4
GAPDH,CDCA2
GAPDH,CALD1
TFAP2A,NPM1
TUBA4A,TUBA1C
COL1A1,TGFBI
FN1,COL4A4
FN1,ANXA1
COL1A1,ANXA1
C3,PITX3
FN1,COL4A3
FN1,CCN2
MMP2,COL14A1
IL7R,TMEM192
GAPDH,FN1
LGALS1,FLNA
FN1,LGALS1
FN1,COL1A1
LMNA,NPM1
KNG1,PITX3
COL1A1,HTRA1
YWHAZ,FLNA
FLNA,TPM4
CCN3,S100A4
GAPDH,PKM
YWHAZ,NPM1
CCN3,CCN2
FN1,YWHAZ
APOA1,PITX3
C3,FN1
HP,PITX3
YWHAZ,IL7R
IL7R,TPM4
TGFBI,COL4A3
GAPDH,LMNA
PKM,YWHAZ
LMNA,CTSA
PREP,SERPINH1
TGFBI,POSTN
COL1A1,HEL-S-45
HEL-S-45,COL5A2
HSPG2,FBN1
FN1,MMP2
FBN1,TGFBI
KNG1,RXFP4
PKM,NPM1
C3,HEL-S-45
TGFBI,HTRA1
APOA1,IL7R
FN1,FLNA
TMEM192,CCN1
GAPDH,YWHAE
LGALS1,NPM1
HP,APOA1
TMEM192,CTSA
TPM4,SERPINH1
YWHAZ,LMNA
FN1,FBN1
IGFBP7,FBN1
YWHAZ,YWHAE
GAPDH,NPM1
COL4A4,SERPINE2
FN1,HSPG2
YWHAZ,TUBA1C
FN1,HEL-S-45
FN1,TGFBI
KNG1,PREP
YWHAE,NPM1
GAPDH,TUBA1C
COL4A3,SERPINE2
LGALS1,SERPINH1
LMNA,CDCA2
APOA1,FN1
COL1A1,SERPINH1
PKM,FN1
PREP,FLNA
YWHAZ,HEL-S-45
TFAP2A,CCDC80
AHSG,PITX3
HP,HEL-S-45
